General,General,Process,All Report Generation Completed,02/14/2021 00:26:06
General,General,General,RTA Process Completed,02/14/2021 00:26:06
General,General,Process,Transactions Input,02/14/2021 00:28:38
General,General,Process,RTA Process Initiated,02/14/2021 00:28:38
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:28:39
General,General,Process,Transactions Input,02/14/2021 00:31:50
General,General,Process,RTA Process Initiated,02/14/2021 00:31:51
TC_4,Transaction,Process,Transaction Starts,02/14/2021 00:31:51
General,General,Process,Transactions Input,02/14/2021 01:06:51
General,General,Process,RTA Process Initiated,02/14/2021 01:06:51
TC_4,Transaction,Process,Transaction Starts,02/14/2021 01:06:51
General,General,Process,Transactions Input,02/14/2021 01:11:54
General,General,Process,RTA Process Initiated,02/14/2021 01:11:54
TC_2,Transaction,Process,Transaction Starts,02/14/2021 01:11:55
General,General,Process,Transactions Input,02/14/2021 01:13:34
General,General,Process,RTA Process Initiated,02/14/2021 01:13:35
TC_3,Transaction,Process,Transaction Starts,02/14/2021 01:13:35
General,General,Process,Transactions Input,02/14/2021 01:15:41
General,General,Process,RTA Process Initiated,02/14/2021 01:15:41
TC_4,Transaction,Process,Transaction Starts,02/14/2021 01:15:42
General,General,Process,Transactions Input,02/14/2021 01:20:38
General,General,Process,RTA Process Initiated,02/14/2021 01:20:38
TC_4,Transaction,Process,Transaction Starts,02/14/2021 01:20:38
General,General,Process,Transactions Input,02/14/2021 01:32:13
General,General,Process,RTA Process Initiated,02/14/2021 01:32:14
TC_4,Transaction,Process,Transaction Starts,02/14/2021 01:32:14
General,General,Process,Transactions Input,02/14/2021 21:47:39
General,General,Process,RTA Process Initiated,02/14/2021 21:47:40
TC_4,Transaction,Process,Transaction Starts,02/14/2021 21:47:41
General,General,Process,Transactions Input,02/14/2021 21:49:50
General,General,Process,RTA Process Initiated,02/14/2021 21:49:52
TC_4,Transaction,Process,Transaction Starts,02/14/2021 21:49:52
General,General,Process,Transactions Input,02/14/2021 21:51:45
General,General,Process,RTA Process Initiated,02/14/2021 21:51:46
TC_4,Transaction,Process,Transaction Starts,02/14/2021 21:51:47
General,General,Process,Transactions Input,02/14/2021 21:58:59
General,General,Process,RTA Process Initiated,02/14/2021 21:59:01
TC_4,Transaction,Process,Transaction Starts,02/14/2021 21:59:01
General,General,Process,Transactions Input,02/15/2021 15:16:35
General,General,Process,RTA Process Initiated,02/15/2021 15:16:35
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:16:35
TC_4,,Failure,Retrying needed at report generation proccess, retying at 1 Sequence - Invoke RTA_Read_TestData workflow: Read Range Test Data FileObject reference not set to an instance of an object.,02/15/2021 15:16:45
TC_4,Transaction,Failure,Transaction with TC_4 Unsuccessfull. Invoke RTA_Read_TestData workflow: Read Range Test Data FileObject reference not set to an instance of an object.,02/15/2021 15:16:45
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 15:16:45
General,General,Process,All Report Generation Completed,02/15/2021 15:16:50
General,General,General,RTA Process Completed,02/15/2021 15:16:50
General,General,Process,Transactions Input,02/15/2021 15:22:46
General,General,Process,RTA Process Initiated,02/15/2021 15:22:48
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:22:49
General,General,Process,Transactions Input,02/15/2021 15:28:31
General,General,Process,RTA Process Initiated,02/15/2021 15:28:32
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:28:32
General,General,Process,Transactions Input,02/15/2021 15:32:43
General,General,Process,RTA Process Initiated,02/15/2021 15:32:43
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:32:44
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 15:33:41
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 15:33:41
General,General,Process,All Report Generation Completed,02/15/2021 15:33:46
General,General,General,RTA Process Completed,02/15/2021 15:33:47
General,General,Process,Transactions Input,02/15/2021 15:39:58
General,General,Process,RTA Process Initiated,02/15/2021 15:39:59
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:39:59
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 15:40:54
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 15:40:54
General,General,Process,All Report Generation Completed,02/15/2021 15:41:00
General,General,General,RTA Process Completed,02/15/2021 15:41:00
General,General,Process,Transactions Input,02/15/2021 15:41:49
General,General,Process,RTA Process Initiated,02/15/2021 15:41:49
TC_4,Transaction,Process,Transaction Starts,02/15/2021 15:41:50
General,General,Process,Transactions Input,02/15/2021 16:30:41
General,General,Process,RTA Process Initiated,02/15/2021 16:30:42
TC_4,Transaction,Process,Transaction Starts,02/15/2021 16:30:43
General,General,Process,Transactions Input,02/15/2021 20:10:15
General,General,Process,RTA Process Initiated,02/15/2021 20:10:15
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:10:15
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 20:19:58
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 20:19:58
General,General,Process,All Report Generation Completed,02/15/2021 20:20:04
General,General,General,RTA Process Completed,02/15/2021 20:20:04
General,General,Process,Transactions Input,02/15/2021 20:23:51
General,General,Process,RTA Process Initiated,02/15/2021 20:23:52
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:23:52
General,General,Process,Transactions Input,02/15/2021 20:28:27
General,General,Process,RTA Process Initiated,02/15/2021 20:28:28
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:28:28
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 20:30:37
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 20:30:37
General,General,Process,All Report Generation Completed,02/15/2021 20:30:42
General,General,General,RTA Process Completed,02/15/2021 20:30:43
General,General,Process,Transactions Input,02/15/2021 20:37:55
General,General,Process,RTA Process Initiated,02/15/2021 20:37:56
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:37:56
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 20:40:43
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 20:40:43
General,General,Process,All Report Generation Completed,02/15/2021 20:40:49
General,General,General,RTA Process Completed,02/15/2021 20:40:49
General,General,Process,Transactions Input,02/15/2021 20:43:45
General,General,Process,RTA Process Initiated,02/15/2021 20:43:46
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:43:46
General,General,Process,Transactions Input,02/15/2021 20:48:05
General,General,Process,RTA Process Initiated,02/15/2021 20:48:06
TC_4,Transaction,Process,Transaction Starts,02/15/2021 20:48:06
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 20:50:33
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 20:50:33
General,General,Process,All Report Generation Completed,02/15/2021 20:50:38
General,General,General,RTA Process Completed,02/15/2021 20:50:39
General,General,Process,Transactions Input,02/15/2021 21:08:02
General,General,Process,RTA Process Initiated,02/15/2021 21:08:03
TC_4,Transaction,Process,Transaction Starts,02/15/2021 21:08:03
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 21:12:14
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 21:12:14
General,General,Process,All Report Generation Completed,02/15/2021 21:12:19
General,General,General,RTA Process Completed,02/15/2021 21:12:20
General,General,Process,Transactions Input,02/15/2021 21:17:59
General,General,Process,RTA Process Initiated,02/15/2021 21:18:00
TC_4,Transaction,Process,Transaction Starts,02/15/2021 21:18:00
General,General,Process,Transactions Input,02/15/2021 21:23:08
General,General,Process,RTA Process Initiated,02/15/2021 21:23:09
TC_4,Transaction,Process,Transaction Starts,02/15/2021 21:23:09
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 21:27:29
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 21:27:30
General,General,Process,All Report Generation Completed,02/15/2021 21:27:35
General,General,General,RTA Process Completed,02/15/2021 21:27:35
General,General,Process,Transactions Input,02/15/2021 21:52:26
General,General,Process,RTA Process Initiated,02/15/2021 21:52:28
TC_4,Transaction,Process,Transaction Starts,02/15/2021 21:52:28
General,General,Process,Transactions Input,02/15/2021 22:01:08
General,General,Process,RTA Process Initiated,02/15/2021 22:01:10
TC_4,Transaction,Process,Transaction Starts,02/15/2021 22:01:10
General,General,Process,Transactions Input,02/15/2021 22:11:06
General,General,Process,RTA Process Initiated,02/15/2021 22:11:08
TC_4,Transaction,Process,Transaction Starts,02/15/2021 22:11:08
General,General,Process,Transactions Input,02/15/2021 22:17:57
General,General,Process,RTA Process Initiated,02/15/2021 22:18:00
TC_4,Transaction,Process,Transaction Starts,02/15/2021 22:18:00
General,General,Process,Transactions Input,02/15/2021 22:21:25
General,General,Process,RTA Process Initiated,02/15/2021 22:21:27
TC_4,Transaction,Process,Transaction Starts,02/15/2021 22:21:27
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 22:26:23
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 22:26:23
General,General,Process,All Report Generation Completed,02/15/2021 22:26:29
General,General,General,RTA Process Completed,02/15/2021 22:26:29
General,General,Process,Transactions Input,02/15/2021 22:45:10
General,General,Process,RTA Process Initiated,02/15/2021 22:45:13
TC_5,Transaction,Process,Transaction Starts,02/15/2021 22:45:14
General,General,Process,Transactions Input,02/15/2021 23:19:48
General,General,Process,RTA Process Initiated,02/15/2021 23:19:50
TC_4,Transaction,Process,Transaction Starts,02/15/2021 23:19:50
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 23:23:12
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 23:23:12
General,General,Process,All Report Generation Completed,02/15/2021 23:23:20
General,General,General,RTA Process Completed,02/15/2021 23:23:22
General,General,Process,Transactions Input,02/15/2021 23:29:31
General,General,Process,RTA Process Initiated,02/15/2021 23:29:32
TC_2,Transaction,Process,Transaction Starts,02/15/2021 23:29:32
General,General,Process,Transactions Input,02/15/2021 23:43:47
General,General,Process,RTA Process Initiated,02/15/2021 23:43:50
TC_4,Transaction,Process,Transaction Starts,02/15/2021 23:43:51
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 23:47:43
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 23:47:44
General,General,Process,All Report Generation Completed,02/15/2021 23:47:52
General,General,General,RTA Process Completed,02/15/2021 23:47:55
General,General,Process,Transactions Input,02/15/2021 23:49:23
General,General,Process,RTA Process Initiated,02/15/2021 23:49:26
TC_4,Transaction,Process,Transaction Starts,02/15/2021 23:49:26
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 23:52:18
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 23:52:19
General,General,Process,All Report Generation Completed,02/15/2021 23:52:29
General,General,General,RTA Process Completed,02/15/2021 23:52:34
General,General,Process,Transactions Input,02/15/2021 23:53:25
General,General,Process,RTA Process Initiated,02/15/2021 23:53:26
TC_4,Transaction,Process,Transaction Starts,02/15/2021 23:53:27
TC_4,Transaction,Success,Transaction with TC_4 Successfull,02/15/2021 23:57:21
General,General,Process,Completed all Tasks. No More Data Left to Process,02/15/2021 23:57:22
General,General,Process,All Report Generation Completed,02/15/2021 23:57:29
General,General,General,RTA Process Completed,02/15/2021 23:57:30
General,General,Process,Transactions Input,02/16/2021 13:41:50
General,General,Process,RTA Process Initiated,02/16/2021 13:41:52
TC_4_chrome,Transaction,Process,Transaction Starts,02/16/2021 13:41:52
TC_4_chrome,Transaction,Success,Transaction with TC_4_chrome Successfull,02/16/2021 13:41:53
General,General,Process,Completed all Tasks. No More Data Left to Process,02/16/2021 13:41:53
General,General,Process,All Report Generation Completed,02/16/2021 13:42:00
General,General,General,RTA Process Completed,02/16/2021 13:42:02
General,General,Process,Transactions Input,02/16/2021 13:44:45
General,General,Process,RTA Process Initiated,02/16/2021 13:44:47
TC_4_chrome,Transaction,Process,Transaction Starts,02/16/2021 13:44:47
General,General,Process,Transactions Input,02/16/2021 13:48:06
General,General,Process,RTA Process Initiated,02/16/2021 13:48:07
TC_4_c,Transaction,Process,Transaction Starts,02/16/2021 13:48:07
General,General,Process,Transactions Input,02/17/2021 14:54:32
General,General,Process,RTA Process Initiated,02/17/2021 14:54:36
TC_7,Transaction,Process,Transaction Starts,02/17/2021 14:54:37
TC_7,Transaction,Success,Transaction with TC_7 Successfull,02/17/2021 14:54:40
General,General,Process,Completed all Tasks. No More Data Left to Process,02/17/2021 14:54:41
General,General,Process,All Report Generation Completed,02/17/2021 14:54:51
General,General,General,RTA Process Completed,02/17/2021 14:54:57
General,General,Process,Transactions Input,02/17/2021 14:56:47
General,General,Process,RTA Process Initiated,02/17/2021 14:56:49
TC_7,Transaction,Process,Transaction Starts,02/17/2021 14:56:49
TC_7,Transaction,Success,Transaction with TC_7 Successfull,02/17/2021 14:58:28
General,General,Process,Completed all Tasks. No More Data Left to Process,02/17/2021 14:58:28
General,General,Process,All Report Generation Completed,02/17/2021 14:58:34
General,General,General,RTA Process Completed,02/17/2021 14:58:36
General,General,Process,Transactions Input,02/17/2021 15:26:22
General,General,Process,RTA Process Initiated,02/17/2021 15:26:24
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:26:26
General,General,Process,Transactions Input,02/17/2021 15:34:09
General,General,Process,RTA Process Initiated,02/17/2021 15:34:11
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:34:13
General,General,Process,Transactions Input,02/17/2021 15:38:14
General,General,Process,RTA Process Initiated,02/17/2021 15:38:16
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:38:17
General,General,Process,Transactions Input,02/17/2021 15:43:34
General,General,Process,RTA Process Initiated,02/17/2021 15:43:36
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:43:37
General,General,Process,Transactions Input,02/17/2021 15:49:52
General,General,Process,RTA Process Initiated,02/17/2021 15:49:55
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:49:57
General,General,Process,Transactions Input,02/17/2021 15:58:41
General,General,Process,RTA Process Initiated,02/17/2021 15:58:44
TC_7,Transaction,Process,Transaction Starts,02/17/2021 15:58:45
General,General,Process,Transactions Input,02/17/2021 16:01:22
General,General,Process,RTA Process Initiated,02/17/2021 16:01:24
TC_7,Transaction,Process,Transaction Starts,02/17/2021 16:01:27
General,General,Process,Transactions Input,02/17/2021 16:22:09
General,General,Process,RTA Process Initiated,02/17/2021 16:22:14
TC_7,Transaction,Process,Transaction Starts,02/17/2021 16:22:16
General,General,Process,Transactions Input,02/17/2021 16:40:52
General,General,Process,RTA Process Initiated,02/17/2021 16:40:53
